lg,label,rep,depth,origin,excess,rest,cnt,day,seq_name
1640.0,1023-638,4.0,3,new,,,1,0,8m
2855.0,1023-367,11.0,3,,,,1,0,8m
3500.0,1023-587,18.0,3,,waste,5.0,1,0,8m
1045.0,1023-749,1.0,4,new,,,2,0,8m
1905.0,1023-884,5.0,4,,,,2,0,8m
1970.0,1023-741,8.0,4,,,,2,0,8m
3075.0,1023-545,13.0,4,,waste,5.0,2,0,8m
3650.0,1023-330,20.0,2,new,,,3,0,8m
4340.0,1023-429,25.0,2,,waste,10.0,3,0,8m
2215.0,1023-215,9.0,3,new,,,4,0,8m
2540.0,1023-951,10.0,3,,,,4,0,8m
3230.0,1023-952,17.0,3,,waste,15.0,4,0,8m
1040.0,1023-319,0.0,3,new,,,5,0,8m
3200.0,1023-532,15.0,3,,,,5,0,8m
3740.0,1023-271,21.0,3,,waste,20.0,5,0,8m
3000.0,1023-864,12.0,2,new,,,6,0,8m
4955.0,1023-573,31.0,2,,waste,45.0,6,0,8m
1615.0,1023-287,3.0,3,new,,,7,0,8m
1945.0,1023-860,6.0,3,,,,7,0,8m
4390.0,1023-470,26.0,3,,waste,50.0,7,0,8m
3220.0,1023-779,16.0,2,new,,,8,0,8m
4695.0,1023-622,28.0,2,,waste,85.0,8,0,8m
3515.0,1023-582,19.0,2,new,,,9,0,8m
3920.0,1023-379,22.0,2,,waste,565.0,9,0,8m
1365.0,1023-709,2.0,3,new,,,10,0,8m
1945.0,1023-860,7.0,3,,,,10,0,8m
3195.0,1023-661,14.0,3,,1m0,,10,0,8m
4320.0,1023-800,24.0,1,new,3m5,,11,0,8m
5660.0,1023-401,35.0,1,new,2m0,,12,0,8m
5505.0,1023-232,34.0,1,new,2m0,,13,0,8m
5390.0,1023-928,33.0,1,new,2m5,,14,0,8m
5220.0,1023-979,32.0,1,new,2m5,,15,0,8m
4880.0,1023-713,30.0,1,new,3m0,,16,0,8m
4830.0,1023-577,29.0,1,new,3m0,,17,0,8m
4575.0,1023-778,27.0,1,new,3m0,,18,0,8m
4300.0,1023-338,23.0,1,new,3m5,,19,0,8m
3075.0,1023-545,13.0,2,new,,,1,0,7m
3920.0,1023-379,22.0,2,,waste,5.0,1,0,7m
1040.0,1023-319,0.0,3,new,,,2,0,7m
1615.0,1023-287,3.0,3,,,,2,0,7m
4340.0,1023-429,25.0,3,,waste,5.0,2,0,7m
1045.0,1023-749,1.0,3,new,,,3,0,7m
1365.0,1023-709,2.0,3,,,,3,0,7m
4575.0,1023-778,27.0,3,,waste,15.0,3,0,7m
1905.0,1023-884,5.0,3,new,,,4,0,7m
2215.0,1023-215,9.0,3,,,,4,0,7m
2855.0,1023-367,11.0,3,,waste,25.0,4,0,7m
3230.0,1023-952,17.0,2,new,,,5,0,7m
3740.0,1023-271,21.0,2,,waste,30.0,5,0,7m
2540.0,1023-951,10.0,2,new,,,6,0,7m
4390.0,1023-470,26.0,2,,waste,70.0,6,0,7m
1970.0,1023-741,8.0,2,new,,,7,0,7m
4955.0,1023-573,31.0,2,,waste,75.0,7,0,7m
1945.0,1023-860,6.0,3,new,,,8,0,7m
1945.0,1023-860,7.0,3,,,,8,0,7m
3000.0,1023-864,12.0,3,,waste,110.0,8,0,7m
1640.0,1023-638,4.0,2,new,,,9,0,7m
4320.0,1023-800,24.0,2,,1m0,,9,0,7m
5390.0,1023-928,33.0,1,new,1m5,,10,0,7m
5660.0,1023-401,35.0,1,new,1m0,,11,0,7m
5505.0,1023-232,34.0,1,new,1m0,,12,0,7m
3195.0,1023-661,14.0,1,new,3m5,,13,0,7m
3200.0,1023-532,15.0,1,new,3m5,,14,0,7m
4880.0,1023-713,30.0,1,new,2m0,,15,0,7m
4830.0,1023-577,29.0,1,new,2m0,,16,0,7m
4695.0,1023-622,28.0,1,new,2m0,,17,0,7m
4300.0,1023-338,23.0,1,new,2m5,,18,0,7m
3650.0,1023-330,20.0,1,new,3m0,,19,0,7m
3515.0,1023-582,19.0,1,new,3m0,,20,0,7m
3500.0,1023-587,18.0,1,new,3m5,,21,0,7m
3220.0,1023-779,16.0,1,new,3m5,,22,0,7m
5220.0,1023-979,32.0,1,new,1m5,,23,0,7m
5220.0,1023-979,32.0,1,new,waste,780.0,1,0,6m
5390.0,1023-928,33.0,1,new,waste,610.0,2,0,6m
5505.0,1023-232,34.0,1,new,waste,495.0,3,0,6m
5660.0,1023-401,35.0,1,new,waste,340.0,4,0,6m
1040.0,1023-319,0.0,2,new,,,5,0,6m
4955.0,1023-573,31.0,2,,waste,5.0,5,0,6m
1045.0,1023-749,1.0,4,new,,,6,0,6m
1365.0,1023-709,2.0,4,,,,6,0,6m
1615.0,1023-287,3.0,4,,,,6,0,6m
1970.0,1023-741,8.0,4,,waste,5.0,6,0,6m
1640.0,1023-638,4.0,2,new,,,7,0,6m
4340.0,1023-429,25.0,2,,waste,20.0,7,0,6m
2215.0,1023-215,9.0,2,new,,,8,0,6m
3740.0,1023-271,21.0,2,,waste,45.0,8,0,6m
2855.0,1023-367,11.0,2,new,,,9,0,6m
3075.0,1023-545,13.0,2,,waste,70.0,9,0,6m
1905.0,1023-884,5.0,3,new,,,10,0,6m
1945.0,1023-860,6.0,3,,,,10,0,6m
1945.0,1023-860,7.0,3,,waste,205.0,10,0,6m
2540.0,1023-951,10.0,1,new,3m0,,11,0,6m
3920.0,1023-379,22.0,1,new,2m0,,12,0,6m
4830.0,1023-577,29.0,1,new,1m0,,13,0,6m
4695.0,1023-622,28.0,1,new,1m0,,14,0,6m
4575.0,1023-778,27.0,1,new,1m0,,15,0,6m
4390.0,1023-470,26.0,1,new,1m5,,16,0,6m
4320.0,1023-800,24.0,1,new,1m5,,17,0,6m
4300.0,1023-338,23.0,1,new,1m5,,18,0,6m
3650.0,1023-330,20.0,1,new,2m0,,19,0,6m
3000.0,1023-864,12.0,1,new,3m0,,20,0,6m
3515.0,1023-582,19.0,1,new,2m0,,21,0,6m
3500.0,1023-587,18.0,1,new,2m5,,22,0,6m
3230.0,1023-952,17.0,1,new,2m5,,23,0,6m
3220.0,1023-779,16.0,1,new,2m5,,24,0,6m
3200.0,1023-532,15.0,1,new,2m5,,25,0,6m
3195.0,1023-661,14.0,1,new,2m5,,26,0,6m
4880.0,1023-713,30.0,1,new,1m0,,27,0,6m
5220.0,1023-979,32.0,1,new,waste,780.0,1,0,SS
5390.0,1023-928,33.0,1,new,waste,610.0,2,0,SS
5505.0,1023-232,34.0,1,new,waste,495.0,3,0,SS
5660.0,1023-401,35.0,1,new,waste,340.0,4,0,SS
1040.0,1023-319,0.0,2,new,,,5,0,SS
4955.0,1023-573,31.0,2,,waste,5.0,5,0,SS
1045.0,1023-749,1.0,4,new,,,6,0,SS
1365.0,1023-709,2.0,4,,,,6,0,SS
1615.0,1023-287,3.0,4,,,,6,0,SS
1970.0,1023-741,8.0,4,,waste,5.0,6,0,SS
1640.0,1023-638,4.0,2,new,,,7,0,SS
4340.0,1023-429,25.0,2,,waste,20.0,7,0,SS
2215.0,1023-215,9.0,2,new,,,8,0,SS
3740.0,1023-271,21.0,2,,waste,45.0,8,0,SS
2855.0,1023-367,11.0,2,new,,,9,0,SS
3075.0,1023-545,13.0,2,,waste,70.0,9,0,SS
1905.0,1023-884,5.0,3,new,,,10,0,SS
1945.0,1023-860,6.0,3,,,,10,0,SS
1945.0,1023-860,7.0,3,,waste,205.0,10,0,SS
2540.0,1023-951,10.0,1,new,3m25,,11,0,SS
3920.0,1023-379,22.0,1,new,2m0,,12,0,SS
4830.0,1023-577,29.0,1,new,1m0,,13,0,SS
4695.0,1023-622,28.0,1,new,1m25,,14,0,SS
4575.0,1023-778,27.0,1,new,1m25,,15,0,SS
4390.0,1023-470,26.0,1,new,1m5,,16,0,SS
4320.0,1023-800,24.0,1,new,1m5,,17,0,SS
4300.0,1023-338,23.0,1,new,1m5,,18,0,SS
3650.0,1023-330,20.0,1,new,2m25,,19,0,SS
3000.0,1023-864,12.0,1,new,3m0,,20,0,SS
3515.0,1023-582,19.0,1,new,2m25,,21,0,SS
3500.0,1023-587,18.0,1,new,2m5,,22,0,SS
3230.0,1023-952,17.0,1,new,2m75,,23,0,SS
3220.0,1023-779,16.0,1,new,2m75,,24,0,SS
3200.0,1023-532,15.0,1,new,2m75,,25,0,SS
3195.0,1023-661,14.0,1,new,2m75,,26,0,SS
