total_linear,total_waste,max_waste,retrieved,stored,consumed_stock,consumed_linear,waste_ratio,day,seq_name
122.385,0.8,565.0,0,10,19,152.0,0.65,0,8m
122.385,0.335,110.0,0,15,23,161.0,0.27,0,7m
122.385,2.575,780.0,0,17,27,162.0,2.1,0,6m
122.385,2.575,780.0,0,17,27,162.0,2.1,0,SS
203.4,3.945,855.0,9,18,29,232.0,1.94,1,8m
203.4,3.42,250.0,12,25,32,224.0,1.68,1,7m
203.4,10.8,890.0,10,16,38,228.0,5.31,1,6m
203.4,9.98,890.0,13,10,34,204.0,4.91,1,SS
153.365,4.185,320.0,14,15,20,160.0,2.66,2,8m
153.365,3.37,345.0,11,17,23,161.0,2.2,2,7m
153.365,8.175,825.0,14,14,26,156.0,5.33,2,6m
153.365,6.11,825.0,10,14,28,168.0,3.98,2,SS
161.48,3.84,250.0,14,16,22,176.0,2.31,3,8m
161.48,2.495,250.0,9,26,30,210.0,1.51,3,7m
161.48,3.88,955.0,10,25,32,192.0,2.4,3,6m
161.48,2.57,955.0,10,25,32,192.0,1.59,3,SS
195.82,3.865,250.0,15,23,29,232.0,1.97,4,8m
195.82,5.575,250.0,22,32,33,231.0,2.85,4,7m
195.82,14.22,1490.0,14,20,37,222.0,7.26,4,6m
195.82,12.115,960.0,16,19,36,216.0,6.14,4,SS
144.08,4.345,250.0,17,13,17,136.0,3.02,5,8m
144.08,5.62,250.0,22,20,22,154.0,3.9,5,7m
144.08,17.185,1415.0,12,17,30,180.0,11.64,5,6m
144.08,7.345,1170.0,18,19,26,156.0,5.1,5,SS
112.52,3.735,400.0,13,9,13,104.0,3.32,6,8m
112.52,5.06,250.0,20,13,14,98.0,4.5,6,7m
112.52,6.835,1060.0,11,11,20,120.0,6.07,6,6m
112.52,6.16,1060.0,14,10,18,108.0,5.3,6,SS
145.34,4.365,315.0,12,10,18,144.0,3.0,7,8m
145.34,3.585,680.0,11,24,27,189.0,2.41,7,7m
145.34,9.15,1075.0,13,21,29,174.0,6.3,7,6m
145.34,7.025,1075.0,7,17,30,180.0,4.83,7,SS
