mini,maxi,qtt,status,name,day,seq_name
1000,1500,1,CRIT_EMPTY,1m0,0,8m
1500,2000,0,EMPTY,1m5,0,8m
2000,2500,2,CRIT_EMPTY,2m0,0,8m
2500,3000,2,CRIT_EMPTY,2m5,0,8m
3000,3500,3,CRIT_EMPTY,3m0,0,8m
3500,4000,2,CRIT_EMPTY,3m5,0,8m
1000,1500,3,CRIT_EMPTY,1m0,0,7m
1500,2000,2,CRIT_EMPTY,1m5,0,7m
2000,2500,3,CRIT_EMPTY,2m0,0,7m
2500,3000,1,CRIT_EMPTY,2m5,0,7m
3000,3500,2,CRIT_EMPTY,3m0,0,7m
3500,4000,4,CRIT_EMPTY,3m5,0,7m
1000,1500,4,CRIT_EMPTY,1m0,0,6m
1500,2000,3,CRIT_EMPTY,1m5,0,6m
2000,2500,3,CRIT_EMPTY,2m0,0,6m
2500,3000,5,CRIT_EMPTY,2m5,0,6m
3000,3500,2,CRIT_EMPTY,3m0,0,6m
3500,4000,0,EMPTY,3m5,0,6m
1000,1250,2,OPEN,1m0,0,SS
1250,1500,2,OPEN,1m25,0,SS
1500,1750,3,OPEN,1m5,0,SS
1750,2000,0,EMPTY,1m75,0,SS
2000,2250,1,CRIT_EMPTY,2m0,0,SS
2250,2500,2,OPEN,2m25,0,SS
2500,2750,1,CRIT_EMPTY,2m5,0,SS
2750,3000,4,OPEN,2m75,0,SS
3000,3250,1,CRIT_EMPTY,3m0,0,SS
3250,3500,1,CRIT_EMPTY,3m25,0,SS
3500,3750,0,EMPTY,3m5,0,SS
3750,4000,0,EMPTY,3m75,0,SS
1000,1500,1,CRIT_EMPTY,1m0,1,8m
1500,2000,1,CRIT_EMPTY,1m5,1,8m
2000,2500,3,CRIT_EMPTY,2m0,1,8m
2500,3000,9,OPEN,2m5,1,8m
3000,3500,3,CRIT_EMPTY,3m0,1,8m
3500,4000,2,CRIT_EMPTY,3m5,1,8m
1000,1500,9,OPEN,1m0,1,7m
1500,2000,11,OPEN,1m5,1,7m
2000,2500,4,CRIT_EMPTY,2m0,1,7m
2500,3000,0,EMPTY,2m5,1,7m
3000,3500,2,CRIT_EMPTY,3m0,1,7m
3500,4000,2,CRIT_EMPTY,3m5,1,7m
1000,1500,7,OPEN,1m0,1,6m
1500,2000,4,CRIT_EMPTY,1m5,1,6m
2000,2500,3,CRIT_EMPTY,2m0,1,6m
2500,3000,6,OPEN,2m5,1,6m
3000,3500,3,CRIT_EMPTY,3m0,1,6m
3500,4000,0,EMPTY,3m5,1,6m
1000,1250,4,OPEN,1m0,1,SS
1250,1500,1,CRIT_EMPTY,1m25,1,SS
1500,1750,1,CRIT_EMPTY,1m5,1,SS
1750,2000,1,CRIT_EMPTY,1m75,1,SS
2000,2250,2,OPEN,2m0,1,SS
2250,2500,3,OPEN,2m25,1,SS
2500,2750,0,EMPTY,2m5,1,SS
2750,3000,2,OPEN,2m75,1,SS
3000,3250,0,EMPTY,3m0,1,SS
3250,3500,0,EMPTY,3m25,1,SS
3500,3750,0,EMPTY,3m5,1,SS
3750,4000,0,EMPTY,3m75,1,SS
1000,1500,2,CRIT_EMPTY,1m0,2,8m
