lg,label,rep,depth,origin,excess,rest,cnt,it
5110,1023-876,60,1,new,waste,890.0,1,0
5120,1023-386,61,1,new,waste,880.0,2,0
5240,1023-881,62,1,new,waste,760.0,3,0
5325,1023-617,63,1,new,waste,675.0,4,0
5575,1023-681,64,1,new,waste,425.0,5,0
5630,1023-669,65,1,new,waste,370.0,6,0
5650,1023-964,66,1,new,waste,350.0,7,0
5660,1023-378,67,1,new,waste,340.0,8,0
1840,1023-687,7,3,new,,,9,0
1840,1023-687,8,3,,,,9,0
1890,1023-457,17,3,,waste,430.0,9,0
1840,1023-687,9,3,new,,,10,0
1840,1023-687,10,3,,,,10,0
1840,1023-687,11,3,,waste,480.0,10,0
1840,1023-687,12,3,new,,,11,0
1840,1023-687,13,3,,,,11,0
1840,1023-687,14,3,,waste,480.0,11,0
1570,1023-666,6,3,new,,,12,0
1840,1023-687,15,3,,,,12,0
1840,1023-687,16,3,,waste,750.0,12,0
1205,1023-337,2,4,new,,,13,0
1225,1023-779,3,4,,,,13,0
1330,1023-912,4,4,,,,13,0
1495,1023-720,5,4,,waste,745.0,13,0
2685,1023-238,21,2,new,,,14,0
3305,1023-752,27,2,,waste,10.0,14,0
2370,1023-698,18,2,new,,,15,0
3605,1023-986,38,2,,waste,25.0,15,0
1000,1023-610,0,2,new,,,16,0
4960,1023-350,58,2,,waste,40.0,16,0
1055,1023-910,1,2,new,,,17,0
4895,1023-421,57,2,,waste,50.0,17,0
2830,1023-385,24,2,new,,,18,0
3105,1023-984,26,2,,waste,65.0,18,0
2575,1023-682,19,1,new,3m0,,19,0
4555,1023-412,49,1,new,1m0,,20,0
4030,1023-938,43,1,new,1m5,,21,0
4075,1023-631,44,1,new,1m5,,22,0
4240,1023-696,45,1,new,1m5,,23,0
4410,1023-263,46,1,new,1m5,,24,0
4555,1023-412,47,1,new,1m0,,25,0
4555,1023-412,48,1,new,1m0,,26,0
4555,1023-412,50,1,new,1m0,,27,0
2655,1023-963,20,1,new,3m0,,28,0
4555,1023-412,51,1,new,1m0,,29,0
4555,1023-412,52,1,new,1m0,,30,0
4555,1023-412,53,1,new,1m0,,31,0
4555,1023-412,54,1,new,1m0,,32,0
4555,1023-412,55,1,new,1m0,,33,0
4885,1023-805,56,1,new,1m0,,34,0
3975,1023-282,42,1,new,2m0,,35,0
3875,1023-905,41,1,new,2m0,,36,0
3725,1023-665,40,1,new,2m0,,37,0
3685,1023-962,39,1,new,2m0,,38,0
3535,1023-575,37,1,new,2m0,,39,0
3535,1023-575,36,1,new,2m0,,40,0
3535,1023-575,35,1,new,2m0,,41,0
3535,1023-575,34,1,new,2m0,,42,0
3535,1023-575,33,1,new,2m0,,43,0
3535,1023-575,32,1,new,2m0,,44,0
3535,1023-575,31,1,new,2m0,,45,0
3535,1023-575,30,1,new,2m0,,46,0
3535,1023-575,29,1,new,2m0,,47,0
3535,1023-575,28,1,new,2m0,,48,0
2935,1023-264,25,1,new,3m0,,49,0
2685,1023-238,23,1,new,3m0,,50,0
2685,1023-438,22,1,new,3m0,,51,0
4960,1023-350,59,1,new,1m0,,52,0
5110,1023-673,40,1,new,waste,890.0,1,1
5110,1023-673,41,1,new,waste,890.0,2,1
5110,1023-673,42,1,new,waste,890.0,3,1
5110,1023-673,43,1,new,waste,890.0,4,1
5430,1023-733,44,1,new,waste,570.0,5,1
5605,1023-705,45,1,new,waste,395.0,6,1
980,1023-716,0,1,1m0,waste,250.0,7,1
2990,1023-534,20,1,3m0,waste,250.0,8,1
2810,1023-282,19,1,3m0,waste,250.0,9,1
1190,1023-289,1,1,1m5,waste,250.0,10,1
1290,1023-588,2,1,1m5,waste,250.0,11,1
1395,1023-983,4,1,1m5,waste,250.0,12,1
1395,1023-983,5,1,1m5,waste,250.0,13,1
1520,1023-444,7,1,2m0,waste,250.0,14,1
1525,1023-759,8,1,2m0,waste,250.0,15,1
1635,1023-463,9,1,2m0,waste,250.0,16,1
1640,1023-663,10,1,2m0,waste,250.0,17,1
1510,1023-763,6,1,2m0,waste,250.0,18,1
2440,1023-905,17,2,new,,,19,1
3545,1023-843,26,2,,waste,15.0,19,1
1360,1023-985,3,3,new,,,20,1
2115,1023-625,14,3,,,,20,1
2485,1023-852,18,3,,waste,40.0,20,1
2030,1023-559,11,2,new,,,21,1
3900,1023-498,30,2,,waste,70.0,21,1
2155,1023-467,15,2,new,,,22,1
2295,1023-887,16,2,,1m5,,22,1
2110,1023-387,12,2,new,,,23,1
2110,1023-783,13,2,,1m5,,23,1
4385,1023-730,33,1,new,1m5,,24,1
4985,1023-664,39,1,new,1m0,,25,1
4955,1023-354,38,1,new,1m0,,26,1
4875,1023-824,37,1,new,1m0,,27,1
4810,1023-973,36,1,new,1m0,,28,1
4765,1023-743,35,1,new,1m0,,29,1
4580,1023-600,34,1,new,1m0,,30,1
4155,1023-449,31,1,new,1m5,,31,1
3600,1023-276,29,1,new,2m0,,32,1
3565,1023-930,28,1,new,2m0,,33,1
3565,1023-930,27,1,new,2m0,,34,1
3445,1023-275,25,1,new,2m5,,35,1
3330,1023-758,24,1,new,2m5,,36,1
3330,1023-758,23,1,new,2m5,,37,1
3200,1023-885,22,1,new,2m5,,38,1
3070,1023-660,21,1,new,2m5,,39,1
4315,1023-263,32,1,new,1m5,,40,1
5065,1023-341,59,1,new,waste,935.0,1,2
5145,1023-844,60,1,new,waste,855.0,2,2
5145,1023-844,61,1,new,waste,855.0,3,2
5145,1023-844,62,1,new,waste,855.0,4,2
5145,1023-844,63,1,new,waste,855.0,5,2
5145,1023-844,64,1,new,waste,855.0,6,2
5145,1023-844,65,1,new,waste,855.0,7,2
5145,1023-844,66,1,new,waste,855.0,8,2
5145,1023-844,67,1,new,waste,855.0,9,2
5555,1023-464,68,1,new,waste,445.0,10,2
5555,1023-464,69,1,new,waste,445.0,11,2
5555,1023-464,70,1,new,waste,445.0,12,2
5555,1023-464,71,1,new,waste,445.0,13,2
5555,1023-464,72,1,new,waste,445.0,14,2
5555,1023-464,73,1,new,waste,445.0,15,2
5555,1023-464,74,1,new,waste,445.0,16,2
5555,1023-464,75,1,new,waste,445.0,17,2
5555,1023-464,76,1,new,waste,445.0,18,2
5555,1023-464,77,1,new,waste,445.0,19,2
1040,1023-836,0,1,1m5,waste,250.0,20,2
1800,1023-384,25,1,2m0,waste,250.0,21,2
1800,1023-384,26,1,2m0,waste,250.0,22,2
1800,1023-384,27,1,2m0,waste,250.0,23,2
1800,1023-384,28,1,2m0,waste,250.0,24,2
1800,1023-384,29,1,2m0,waste,250.0,25,2
2020,1023-320,30,1,2m5,waste,250.0,26,2
2215,1023-616,31,1,2m5,waste,250.0,27,2
2370,1023-425,32,1,2m5,waste,250.0,28,2
2395,1023-318,33,1,2m5,waste,250.0,29,2
1750,1023-356,24,1,2m0,waste,250.0,30,2
2525,1023-936,34,1,3m0,waste,250.0,31,2
2675,1023-910,36,1,3m0,waste,250.0,32,2
1605,1023-370,23,1,2m0,waste,250.0,33,2
2550,1023-307,35,1,3m0,waste,250.0,34,2
1605,1023-370,21,1,2m0,waste,250.0,35,2
1605,1023-370,22,1,2m0,waste,250.0,36,2
1055,1023-475,1,1,1m5,waste,250.0,37,2
1195,1023-610,2,1,1m5,waste,250.0,38,2
1245,1023-917,3,1,1m5,waste,250.0,39,2
1270,1023-402,4,1,1m5,waste,250.0,40,2
1605,1023-370,17,1,2m0,waste,250.0,41,2
1605,1023-370,18,1,2m0,waste,250.0,42,2
1605,1023-370,19,1,2m0,waste,250.0,43,2
1345,1023-390,6,4,new,,,44,2
1345,1023-390,7,4,,,,44,2
1425,1023-807,16,4,,,,44,2
1605,1023-370,20,4,,waste,280.0,44,2
1345,1023-390,8,4,new,,,45,2
1345,1023-390,9,4,,,,45,2
1345,1023-390,10,4,,,,45,2
1345,1023-390,11,4,,waste,620.0,45,2
1345,1023-390,12,4,new,,,46,2
1345,1023-390,13,4,,,,46,2
1345,1023-390,14,4,,,,46,2
1345,1023-390,15,4,,waste,620.0,46,2
1275,1023-940,5,2,new,,,47,2
4690,1023-431,56,2,,waste,35.0,47,2
3055,1023-786,37,1,new,2m5,,48,2
3695,1023-877,48,1,new,2m0,,49,2
4800,1023-989,57,1,new,1m0,,50,2
4530,1023-797,55,1,new,1m0,,51,2
4455,1023-351,54,1,new,1m5,,52,2
4395,1023-602,53,1,new,1m5,,53,2
4365,1023-763,52,1,new,1m5,,54,2
4020,1023-223,51,1,new,1m5,,55,2
3830,1023-847,50,1,new,2m0,,56,2
3805,1023-291,49,1,new,2m0,,57,2
3585,1023-598,47,1,new,2m0,,58,2
3090,1023-633,38,1,new,2m5,,59,2
3510,1023-732,46,1,new,2m0,,60,2
3470,1023-962,45,1,new,2m5,,61,2
3425,1023-480,44,1,new,2m5,,62,2
3190,1023-387,43,1,new,2m5,,63,2
3190,1023-387,42,1,new,2m5,,64,2
3190,1023-387,41,1,new,2m5,,65,2
3190,1023-387,40,1,new,2m5,,66,2
3095,1023-245,39,1,new,2m5,,67,2
4875,1023-798,58,1,new,1m0,,68,2
5050,1023-453,36,1,new,waste,950.0,1,3
5050,1023-453,37,1,new,waste,950.0,2,3
5070,1023-524,38,1,new,waste,930.0,3,3
5240,1023-964,39,1,new,waste,760.0,4,3
5240,1023-964,40,1,new,waste,760.0,5,3
5240,1023-964,41,1,new,waste,760.0,6,3
5240,1023-964,42,1,new,waste,760.0,7,3
5240,1023-964,43,1,new,waste,760.0,8,3
5350,1023-710,44,1,new,waste,650.0,9,3
5350,1023-710,45,1,new,waste,650.0,10,3
5350,1023-710,46,1,new,waste,650.0,11,3
5350,1023-710,47,1,new,waste,650.0,12,3
5350,1023-710,48,1,new,waste,650.0,13,3
5350,1023-710,49,1,new,waste,650.0,14,3
5505,1023-322,50,1,new,waste,495.0,15,3
5655,1023-889,51,1,new,waste,345.0,16,3
5655,1023-889,52,1,new,waste,345.0,17,3
5670,1023-253,53,1,new,waste,330.0,18,3
1160,1023-553,0,1,1m5,waste,250.0,19,3
2470,1023-937,17,1,2m5,waste,250.0,20,3
2285,1023-505,15,1,2m5,waste,250.0,21,3
2245,1023-980,14,1,2m5,waste,250.0,22,3
2235,1023-247,13,1,2m5,waste,250.0,23,3
2235,1023-247,12,1,2m5,waste,250.0,24,3
2230,1023-803,11,1,2m5,waste,250.0,25,3
2470,1023-937,16,1,2m5,waste,250.0,26,3
1860,1023-535,9,1,2m0,waste,250.0,27,3
1750,1023-303,8,1,2m0,waste,250.0,28,3
1695,1023-975,7,1,2m0,waste,250.0,29,3
1675,1023-310,6,1,2m0,waste,250.0,30,3
1595,1023-707,5,1,2m0,waste,250.0,31,3
1380,1023-664,3,1,1m5,waste,250.0,32,3
1320,1023-455,2,1,1m5,waste,250.0,33,3
