lg,label,rep,depth,origin,excess,rest,cnt
5520.0,1023-386,29,1,new,waste,480.0,1
5520.0,1023-386,30,1,new,waste,480.0,2
5560.0,1023-407,31,1,new,waste,440.0,3
5570.0,1023-733,32,1,new,waste,430.0,4
1290.0,1023-924,3,3,new,,,5
1705.0,1023-928,7,3,,,,5
3000.0,1023-351,16,3,,waste,5.0,5
1470.0,1023-745,4,3,new,,,6
1470.0,1023-745,5,3,,,,6
3055.0,1023-884,17,3,,waste,5.0,6
1030.0,1023-695,1,3,new,,,7
2290.0,1023-877,11,3,,,,7
2670.0,1023-383,13,3,,waste,10.0,7
2320.0,1023-672,12,2,new,,,8
3665.0,1023-457,22,2,,waste,15.0,8
1515.0,1023-822,6,3,new,,,9
1760.0,1023-872,8,3,,,,9
2710.0,1023-583,14,3,,waste,15.0,9
975.0,1023-367,0,4,new,,,10
1225.0,1023-448,2,4,,,,10
1785.0,1023-595,9,4,,,,10
2000.0,1023-410,10,4,,waste,15.0,10
2910.0,1023-959,15,1,new,3m0,,11
3435.0,1023-212,18,1,new,2m5,,12
3435.0,1023-212,19,1,new,2m5,,13
3440.0,1023-763,20,1,new,2m5,,14
3580.0,1023-479,21,1,new,2m0,,15
3690.0,1023-297,23,1,new,2m0,,16
3830.0,1023-443,24,1,new,2m0,,17
3905.0,1023-922,25,1,new,2m0,,18
4165.0,1023-929,26,1,new,1m5,,19
4240.0,1023-685,27,1,new,1m5,,20
4270.0,1023-975,28,1,new,1m5,,21
5490.0,1023-880,35,1,new,waste,510.0,22
5550.0,1023-910,36,1,new,waste,450.0,23
5560.0,1023-553,37,1,new,waste,440.0,24
1320.0,1023-714,0,3,new,,,25
2300.0,1023-759,9,3,,,,25
2375.0,1023-500,10,3,,waste,5.0,25
4745.0,1023-453,33,1,new,1m0,,26
4790.0,1023-566,34,1,new,1m0,,27
5180.0,1023-369,35,1,new,waste,820.0,28
5245.0,1023-760,36,1,new,waste,755.0,29
5445.0,1023-631,37,1,new,waste,555.0,30
5600.0,1023-914,38,1,new,waste,400.0,31
5645.0,1023-330,39,1,new,waste,355.0,32
5645.0,1023-330,40,1,new,waste,355.0,33
1105.0,1023-557,0,3,new,,,34
2030.0,1023-347,14,3,,,,34
2860.0,1023-275,28,3,,waste,5.0,34
5195.0,1023-925,27,1,new,waste,805.0,35
5345.0,1023-910,28,1,new,waste,655.0,36
5625.0,1023-381,29,1,new,waste,375.0,37
2705.0,1023-691,13,2,new,,,38
3290.0,1023-668,17,2,,waste,5.0,38
5050.0,1023-700,38,1,new,waste,950.0,39
5255.0,1023-773,39,1,new,waste,745.0,40
5400.0,1023-572,40,1,new,waste,600.0,41
1855.0,1023-740,8,3,new,,,42
1855.0,1023-740,9,3,,,,42
2285.0,1023-470,14,3,,waste,5.0,42
