,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_0,965,5035,1,,,1m0,EMPTY
_1,995,5005,1,,,1m0,EMPTY
_2,995,5005,1,,,1m0,EMPTY
_3,995,5005,1,,,1m0,EMPTY
_4,995,5005,1,,,1m0,EMPTY
_5,1050,4950,1,,,1m5,EMPTY
_6,1170,4830,1,,,1m5,EMPTY
_7,1230,4770,1,,,1m5,EMPTY
_8,1240,4760,1,,,1m5,EMPTY
_9,1255,4745,1,,,1m5,EMPTY
_10,1255,4745,1,,,1m5,EMPTY
_11,1255,4745,1,,,1m5,EMPTY
_12,1255,4745,1,,,1m5,EMPTY
_13,1255,4745,1,,,1m5,EMPTY
_14,1255,4745,1,,,1m5,EMPTY
_15,1255,4745,1,,,1m5,EMPTY
_16,1255,4745,1,,,1m5,EMPTY
_17,1255,4745,1,,,1m5,EMPTY
_18,1255,4745,1,,,1m5,EMPTY
_19,1495,4505,1,,,1m5,EMPTY
_20,1550,4450,1,,,2m0,EMPTY
_21,1685,4315,1,,,2m0,EMPTY
_22,1740,4260,1,,,2m0,EMPTY
_23,1890,4110,1,,,2m0,EMPTY
_24,1905,4095,1,,,2m0,EMPTY
_25,2050,3950,1,3m5,EMPTY,2m5,EMPTY
_26,2290,3710,1,3m5,EMPTY,2m5,EMPTY
_27,2505,3495,1,3m0,EMPTY,3m0,EMPTY
_28,2535,3465,1,3m0,EMPTY,3m0,EMPTY
_29,2750,3250,1,3m0,EMPTY,3m0,EMPTY
_30,2810,3190,1,3m0,EMPTY,3m0,EMPTY
_31,2885,3115,1,3m0,EMPTY,3m0,EMPTY
_32,2995,3005,1,3m0,EMPTY,3m0,EMPTY
_33,3080,2920,1,2m5,EMPTY,3m5,EMPTY
_34,3160,2840,1,2m5,EMPTY,3m5,EMPTY
_35,3220,2780,1,2m5,EMPTY,3m5,EMPTY
_36,3250,2750,1,2m5,EMPTY,3m5,EMPTY
_37,3745,2255,1,2m0,EMPTY,,
_38,3775,2225,1,2m0,EMPTY,,
_39,3790,2210,1,2m0,EMPTY,,
_40,3820,2180,1,2m0,EMPTY,,
_41,3995,2005,1,2m0,EMPTY,,
_42,4015,1985,1,1m5,EMPTY,,
_43,4035,1965,1,1m5,EMPTY,,
_44,4080,1920,1,1m5,EMPTY,,
_45,4090,1910,1,1m5,EMPTY,,
_46,4200,1800,1,1m5,EMPTY,,
_47,4200,1800,1,1m5,EMPTY,,
_48,4205,1795,1,1m5,EMPTY,,
_49,4240,1760,1,1m5,EMPTY,,
_50,4265,1735,1,1m5,EMPTY,,
_51,4270,1730,1,1m5,EMPTY,,
_52,4310,1690,1,1m5,EMPTY,,
_53,4310,1690,1,1m5,EMPTY,,
_54,4310,1690,1,1m5,EMPTY,,
_55,4310,1690,1,1m5,EMPTY,,
_56,4315,1685,1,1m5,EMPTY,,
_57,4315,1685,1,1m5,EMPTY,,
_58,4315,1685,1,1m5,EMPTY,,
_59,4315,1685,1,1m5,EMPTY,,
_60,4315,1685,1,1m5,EMPTY,,
_61,4385,1615,1,1m5,EMPTY,,
_62,4480,1520,1,1m5,EMPTY,,
_63,4545,1455,1,1m0,EMPTY,,
_64,4740,1260,1,1m0,EMPTY,,
_65,4745,1255,1,1m0,EMPTY,,
_66,4870,1130,1,1m0,EMPTY,,
_67,4885,1115,1,1m0,EMPTY,,
_68,4980,1020,1,1m0,EMPTY,,
_69,5045,955,1,,,,
_70,5075,925,1,,,,
_71,5110,890,1,,,,
_72,5220,780,1,,,,
_73,5265,735,1,,,,
_74,5270,730,1,,,,
_75,5270,730,1,,,,
_76,5345,655,1,,,,
_77,5515,485,1,,,,
_78,5515,485,1,,,,
_79,5535,465,1,,,,
_80,5595,405,1,,,,
_0_1,1960,4040,2,,,2m0,EMPTY
_0_2,1960,4040,2,,,2m0,EMPTY
_0_3,1960,4040,2,,,2m0,EMPTY
_0_4,1960,4040,2,,,2m0,EMPTY
_0_5,2015,3985,2,3m5,EMPTY,2m5,EMPTY
_0_6,2135,3865,2,3m5,EMPTY,2m5,EMPTY
_0_7,2195,3805,2,3m5,EMPTY,2m5,EMPTY
_0_8,2205,3795,2,3m5,EMPTY,2m5,EMPTY
_0_9,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_10,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_11,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_12,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_13,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_14,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_15,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_16,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_17,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_18,2220,3780,2,3m5,EMPTY,2m5,EMPTY
_0_19,2460,3540,2,3m5,EMPTY,2m5,EMPTY
_0_20,2515,3485,2,3m0,EMPTY,3m0,EMPTY
_0_21,2650,3350,2,3m0,EMPTY,3m0,EMPTY
_0_22,2705,3295,2,3m0,EMPTY,3m0,EMPTY
_0_23,2855,3145,2,3m0,EMPTY,3m0,EMPTY
_0_24,2870,3130,2,3m0,EMPTY,3m0,EMPTY
_0_25,3015,2985,2,2m5,EMPTY,3m5,EMPTY
_0_26,3255,2745,2,2m5,EMPTY,3m5,EMPTY
_0_27,3470,2530,2,2m5,EMPTY,3m5,EMPTY
_0_28,3500,2500,2,2m5,EMPTY,,
_0_29,3715,2285,2,2m0,EMPTY,,
