,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_0,980,5020,1,,,1m0,EMPTY
_1,980,5020,1,,,1m0,EMPTY
_2,980,5020,1,,,1m0,EMPTY
_3,980,5020,1,,,1m0,EMPTY
_4,980,5020,1,,,1m0,EMPTY
_5,980,5020,1,,,1m0,EMPTY
_6,980,5020,1,,,1m0,EMPTY
_7,1000,5000,1,,,1m5,EMPTY
_8,1080,4920,1,,,1m5,EMPTY
_9,1305,4695,1,,,1m5,EMPTY
_10,1455,4545,1,,,1m5,EMPTY
_11,1455,4545,1,,,1m5,EMPTY
_12,1455,4545,1,,,1m5,EMPTY
_13,1455,4545,1,,,1m5,EMPTY
_14,1455,4545,1,,,1m5,EMPTY
_15,1455,4545,1,,,1m5,EMPTY
_16,1460,4540,1,,,1m5,EMPTY
_17,1615,4385,1,,,2m0,EMPTY
_18,1625,4375,1,,,2m0,EMPTY
_19,1740,4260,1,,,2m0,EMPTY
_20,1825,4175,1,,,2m0,EMPTY
_21,1995,4005,1,,,2m0,EMPTY
_22,2025,3975,1,3m5,EMPTY,2m5,EMPTY
_23,2035,3965,1,3m5,EMPTY,2m5,EMPTY
_24,2135,3865,1,3m5,EMPTY,2m5,EMPTY
_25,2315,3685,1,3m5,EMPTY,2m5,EMPTY
_26,2430,3570,1,3m5,EMPTY,2m5,EMPTY
_27,2470,3530,1,3m5,EMPTY,2m5,EMPTY
_28,2505,3495,1,3m0,EMPTY,3m0,EMPTY
_29,2550,3450,1,3m0,EMPTY,3m0,EMPTY
_30,2580,3420,1,3m0,EMPTY,3m0,EMPTY
_31,2585,3415,1,3m0,EMPTY,3m0,EMPTY
_32,2715,3285,1,3m0,EMPTY,3m0,EMPTY
_33,3100,2900,1,2m5,EMPTY,3m5,EMPTY
_34,3350,2650,1,2m5,EMPTY,3m5,EMPTY
_35,3360,2640,1,2m5,EMPTY,3m5,EMPTY
_36,3400,2600,1,2m5,EMPTY,3m5,EMPTY
_37,3435,2565,1,2m5,EMPTY,3m5,EMPTY
_38,3580,2420,1,2m0,EMPTY,,
_39,3605,2395,1,2m0,EMPTY,,
_40,3900,2100,1,2m0,EMPTY,,
_41,3955,2045,1,2m0,EMPTY,,
_42,4005,1995,1,1m5,EMPTY,,
_43,4045,1955,1,1m5,EMPTY,,
