lg,label,rep,depth,origin,excess,rest,cnt,day
4720.0,1023-447,22,1,new,waste,1280.0,1,0
4940.0,1023-425,23,1,new,waste,1060.0,2,0
4965.0,1023-882,24,1,new,waste,1035.0,3,0
4985.0,1023-666,25,1,new,waste,1015.0,4,0
5100.0,1023-326,26,1,new,waste,900.0,5,0
5385.0,1023-495,27,1,new,waste,615.0,6,0
5445.0,1023-371,28,1,new,waste,555.0,7,0
5500.0,1023-270,29,1,new,waste,500.0,8,0
5500.0,1023-270,30,1,new,waste,500.0,9,0
5615.0,1023-420,31,1,new,waste,385.0,10,0
1265.0,1023-651,1,3,new,,,11,0
1645.0,1023-635,2,3,,,,11,0
1760.0,1023-818,3,3,,s_1m3,1330.0,11,0
1245.0,1023-662,0,2,new,,,12,0
2475.0,1023-750,9,2,,s_2m3,2280.0,12,0
2105.0,1023-721,7,2,new,,,13,0
2465.0,1023-594,8,2,,s_1m3,1430.0,13,0
1805.0,1023-724,4,2,new,,,14,0
2000.0,1023-847,5,2,,s_2m3,2195.0,14,0
3100.0,1023-950,10,1,new,s_2m8,2900.0,15,0
3325.0,1023-400,11,1,new,s_2m8,2675.0,16,0
3650.0,1023-677,12,1,new,s_2m3,2350.0,17,0
3725.0,1023-250,13,1,new,s_2m3,2275.0,18,0
3745.0,1023-442,14,1,new,s_2m3,2255.0,19,0
4015.0,1023-272,18,1,new,s_1m8,1985.0,20,0
4040.0,1023-767,19,1,new,s_1m8,1960.0,21,0
4330.0,1023-798,20,1,new,s_1m8,1670.0,22,0
4425.0,1023-650,21,1,new,s_1m8,1575.0,23,0
3905.0,1023-926,17,1,new,s_2m3,2095.0,24,0
3790.0,1023-696,15,1,new,s_2m3,2210.0,25,0
3870.0,1023-383,16,1,new,s_2m3,2130.0,26,0
4845.0,1023-310,40,1,new,waste,1155.0,1,1
4925.0,1023-490,41,1,new,waste,1075.0,2,1
4925.0,1023-490,42,1,new,waste,1075.0,3,1
4925.0,1023-490,43,1,new,waste,1075.0,4,1
4925.0,1023-490,44,1,new,waste,1075.0,5,1
4925.0,1023-490,45,1,new,waste,1075.0,6,1
4980.0,1023-825,46,1,new,waste,1020.0,7,1
5105.0,1023-770,47,1,new,waste,895.0,8,1
5395.0,1023-323,48,1,new,waste,605.0,9,1
1640.0,1023-474,2,1,s_2m3,waste,250.0,10,1
1810.0,1023-431,3,1,s_2m3,waste,250.0,11,1
1885.0,1023-462,4,1,s_2m3,waste,250.0,12,1
1965.0,1023-785,5,1,s_2m3,waste,250.0,13,1
1165.0,1023-214,0,3,new,,,14,1
1455.0,1023-982,1,3,,,,14,1
2070.0,1023-863,7,3,,s_1m3,1310.0,14,1
2175.0,1023-881,9,2,new,,,15,1
2310.0,1023-478,10,2,,s_1m8,1515.0,15,1
2720.0,1023-898,11,1,new,s_3m3,3280.0,16,1
2745.0,1023-416,12,1,new,s_3m3,3255.0,17,1
2850.0,1023-436,13,1,new,s_3m3,3150.0,18,1
2890.0,1023-381,14,1,new,s_3m3,3110.0,19,1
2890.0,1023-381,15,1,new,s_3m3,3110.0,20,1
3085.0,1023-388,18,1,new,s_2m8,2915.0,21,1
3165.0,1023-385,19,1,new,s_2m8,2835.0,22,1
3165.0,1023-385,20,1,new,s_2m8,2835.0,23,1
3615.0,1023-814,29,1,new,s_2m3,2385.0,24,1
4550.0,1023-838,38,1,new,s_1m3,1450.0,25,1
4555.0,1023-706,39,1,new,s_1m3,1445.0,26,1
2025.0,1023-224,6,2,new,,,27,1
2130.0,1023-916,8,2,,s_1m8,1845.0,27,1
3165.0,1023-385,21,1,new,s_2m8,2835.0,28,1
3165.0,1023-385,22,1,new,s_2m8,2835.0,29,1
3165.0,1023-385,23,1,new,s_2m8,2835.0,30,1
3165.0,1023-385,24,1,new,s_2m8,2835.0,31,1
3165.0,1023-385,25,1,new,s_2m8,2835.0,32,1
3165.0,1023-385,26,1,new,s_2m8,2835.0,33,1
3165.0,1023-385,27,1,new,s_2m8,2835.0,34,1
3165.0,1023-385,28,1,new,s_2m8,2835.0,35,1
3700.0,1023-348,30,1,new,s_2m3,2300.0,36,1
4450.0,1023-675,37,1,new,s_1m8,1550.0,37,1
2890.0,1023-381,16,1,new,s_3m3,3110.0,38,1
2890.0,1023-381,17,1,new,s_3m3,3110.0,39,1
3720.0,1023-941,31,1,new,s_2m3,2280.0,40,1
4280.0,1023-952,32,1,new,s_1m8,1720.0,41,1
4280.0,1023-952,33,1,new,s_1m8,1720.0,42,1
4280.0,1023-952,34,1,new,s_1m8,1720.0,43,1
4280.0,1023-952,35,1,new,s_1m8,1720.0,44,1
4330.0,1023-207,36,1,new,s_1m8,1670.0,45,1
4725.0,1023-494,31,1,new,waste,1275.0,1,2
4725.0,1023-494,32,1,new,waste,1275.0,2,2
4890.0,1023-219,33,1,new,waste,1110.0,3,2
4900.0,1023-664,34,1,new,waste,1100.0,4,2
4940.0,1023-558,35,1,new,waste,1060.0,5,2
5235.0,1023-707,36,1,new,waste,765.0,6,2
5235.0,1023-707,37,1,new,waste,765.0,7,2
5435.0,1023-934,38,1,new,waste,565.0,8,2
950.0,1023-350,0,1,s_1m3,waste,250.0,9,2
1060.0,1023-383,1,1,s_1m8,waste,250.0,10,2
1270.0,1023-387,2,1,s_1m8,waste,250.0,11,2
1340.0,1023-276,3,1,s_1m8,waste,250.0,12,2
1355.0,1023-270,4,1,s_1m8,waste,250.0,13,2
1355.0,1023-270,5,1,s_1m8,waste,250.0,14,2
1355.0,1023-270,6,1,s_1m8,waste,250.0,15,2
1390.0,1023-551,7,1,s_1m8,waste,250.0,16,2
1560.0,1023-316,8,1,s_2m3,waste,250.0,17,2
2105.0,1023-593,9,1,s_2m8,waste,250.0,18,2
2525.0,1023-878,10,1,s_3m3,waste,250.0,19,2
2720.0,1023-975,11,1,s_3m3,waste,250.0,20,2
2875.0,1023-342,12,1,s_3m3,waste,250.0,21,2
3005.0,1023-625,13,1,new,s_2m8,2995.0,22,2
3115.0,1023-460,14,1,new,s_2m8,2885.0,23,2
3150.0,1023-412,15,1,new,s_2m8,2850.0,24,2
3575.0,1023-666,17,1,new,s_2m3,2425.0,25,2
3690.0,1023-966,18,1,new,s_2m3,2310.0,26,2
4020.0,1023-746,21,1,new,s_1m8,1980.0,27,2
4020.0,1023-746,22,1,new,s_1m8,1980.0,28,2
4020.0,1023-746,23,1,new,s_1m8,1980.0,29,2
4020.0,1023-746,24,1,new,s_1m8,1980.0,30,2
4020.0,1023-746,25,1,new,s_1m8,1980.0,31,2
4165.0,1023-479,26,1,new,s_1m8,1835.0,32,2
4165.0,1023-479,27,1,new,s_1m8,1835.0,33,2
4420.0,1023-492,30,1,new,s_1m8,1580.0,34,2
3785.0,1023-821,19,1,new,s_2m3,2215.0,35,2
3885.0,1023-885,20,1,new,s_2m3,2115.0,36,2
4315.0,1023-526,28,1,new,s_1m8,1685.0,37,2
4340.0,1023-583,29,1,new,s_1m8,1660.0,38,2
3315.0,1023-644,16,1,new,waste,2685.0,39,2
4840.0,1023-783,40,1,new,waste,1160.0,1,3
5065.0,1023-586,41,1,new,waste,935.0,2,3
5065.0,1023-586,42,1,new,waste,935.0,3,3
5065.0,1023-586,43,1,new,waste,935.0,4,3
5065.0,1023-586,44,1,new,waste,935.0,5,3
5065.0,1023-586,45,1,new,waste,935.0,6,3
5070.0,1023-460,46,1,new,waste,930.0,7,3
5090.0,1023-917,47,1,new,waste,910.0,8,3
5115.0,1023-208,48,1,new,waste,885.0,9,3
5275.0,1023-672,49,1,new,waste,725.0,10,3
5285.0,1023-451,50,1,new,waste,715.0,11,3
5405.0,1023-386,51,1,new,waste,595.0,12,3
5405.0,1023-386,52,1,new,waste,595.0,13,3
1090.0,1023-299,1,1,s_1m8,waste,250.0,14,3
1095.0,1023-251,2,1,s_1m8,waste,250.0,15,3
